구분,지자체명(기관명),지원대상,용도,지원한도,이차보전,추천기관,관리점,취급점
18,금천구,금천구 소재 중소기업으로서 금천구청장이 추천한 자,운전,2억원 이내,0.1%~3.5%,금천구,가산디지털지점,전 영업점
19,나주시,나주시 소재 중소기업으로서 나주시장이 추천한 자,운전,2억원 이내,2.00%,나주시,호남지역본부,나주시에서 취급점으로 지정한 영업점
20,남양주시,남양주시 소재 중소기업으로서 남양주시장이 추천한 자,운전 및 시설,5억원 이내,1.50%,남양주시,호평지점,전 영업점
21,남원시,남원시 소재 중소기업으로서 남원시장이 추천한 자,운전 및 시설,3억원 이내,3.0%~4.0%,남원시,남원지점,전 영업점
22,단양군,단양군 소재 중소기업으로서 단양군수가 추천한 자,운전,2억원 이내,2.0%~3.0%,단양군,제천지점,제천지점
23,대구광역시,대구광역시 소재 중소기업으로서 대구광역시장이 추천한 자,운전,10억원 이내,0.4%~1.8%,대구신용보증재단,대구경북동부지역본부,전 영업점
24,대전광역시,대전광역시 소재 중소기업(소상공인포함)으로서 대전광역시장이 추천한 자,운전,5억원 이내,2.0%~3.0%,대전광역시 경제통상진흥원,충청지역본부,전 영업점
25,동해시,동해시 소재 중소기업으로서 동해시장의 융자추천을 받은자,운전,2억원 이내,3.00%,동해시,동해지점,동해시 소재 영업점
26,마산시,마산시 소재 중소기업으로서 마산시장의 융자추천을 받은 자,운전 및 시설,5억원 이내,2.5%~5.0%,마산시,마산지점,마산시 소재 영업점
27,목포시,목포시 소재 중소기업으로서 목포시장의 추천을 받은 자,운전,3억원 이내,5.00%,목포시,목포지점,전 영업점
28,밀양시,밀양시 소재 중소기업으로서 밀양시의 융자 추천을 받은 자,운전 및 시설,2억원 이내,4.00%,밀양시,창원지점,전 영업점
29,보령시,보령시에 사업장을 두고 있는 자로서 충남신용보증재단의 보증서를 발급받은 소상공인,운전,30백만원 이내,2.0%~2.5%,충남신용보증재단 보령지점,대천지점,전 영업점
30,부산광역시,부산광역시 소재 중소기업으로서 부산광역시장이 추천한 자,운전,3억원 이내,1.5%~2.5%,부산경제진흥원,부산지역본부,부산광역시에서 취급점으로 지정한 영업점
31,부천시,부천시 소재 중소기업으로서 부천시장의 추천을 받은 자,운전 및 시설,5억원 이내,1.5%~2.5%,부천시,강서제주지역본부,전 영업점
32,사천시,사천시 소재 중소기업으로서 사천시장의 융자추천을 받은 기업,운전 및 시설,2억원 이내,2.50%,사천시,진주지점,경상남도 소재 영업점
33,산청군,산청군 소재 중소기업으로 산청군수의 추천을 받은 자,운전,3억원 이내,3.50%,산청군,진주지점,진주시 소재 영업점
34,서울특별시,서울특별시 소재 중소기업 및 소상공인으로서 시장의 추천*을 받은 자,운전,5억원 이내,1.5%~2.5%,서울신용보증재단,여신기획부,전 영업점
35,성남시,성남시 소재 중소기업으로서 성남시장의 추천을 받은 자,운전 및 시설,5억원 이내,1.80%,성남시,성남하이테크지,전 영업점
36,성동구,서울특별시 성동구 소재 중소기업으로서 서울특별시 성동구청장의 추천을 받은 자,운전,2억원 이내,1.50%,서울시 성동구,성수동지점,전 영업점
37,세종특별자치시,세종특별자치시에 소재하는 기업으로서 세종특별자치시장이 융자 추천하고 충남경제진흥원에서 추천서를 발급받은 자,운전 및 시설,5억원이내,1.0%~2.0%,"충청남도경제진흥원, 충남신용보증재단",충청지역본부,전 영업점
38,속초시,속초시 소재 중소기업으로서 속초시장의 융자추천을 받은 중소기업,운전,3억원 이내,3.00%,속초시,속초지점,속초시 소재 영업점
39,수원시,수원시 소재 중소기업으로서 수원시장의 융자 추천을 받은 자,운전,5억원 이내,2.00%,수원시,동수원지점,전 영업점
40,순창군,순창군 소재 중소기업 및 소상공인으로서 순창군의 융자 추천을 받은 자,운전 및 시설,5억원 이내,4.00%,순창군,남원지점,전 영업점
41,시흥시,시흥시 소재 중소기업 및 소상공인으로서 시흥시장이 추천한 자,운전,3억원 이내,1.0%~2.5%,시흥시,경서지역본부,전 영업점
42,안산시,안산시 소재 중소기업으로서 안산시장이 추천한 자,시설,10억원 이내,대출이자 전액,안산시,경서지역본부,전 영업점
43,안성시,안성시 소재 중소기업으로서 안성시장의 추천을 받은 자,운전,2억원 이내,2.0%~2.5%,안성시,안성지점,"안성지점, 평택지점"
44,안양시,안양시 소재 중소기업으로서 취급점이 융자추천하고 안양시장이 대상자로 통보한 자,운전 및 시설,30억원 이내,1.0%~2.0%,안양시,안양지점,안양시 소재 영업
45,양주시,양주시 소재 중소기업(소상공인 포함)으로서 양주시장의 추천을 받은 자,운전,2억원 이내,2.00%,양주시,양주지점,양주시 관내 영업점
46,양산시,양산시 소재 소상공인으로서 경남신용보증재단의 신용보증서를 발급받은 자,운전,50백만원 이내,2.50%,경남신용보증재단 양산지점,양산지점,양산시 소재 영업점
47,용인시,"용인시 소재 중소기업으로서 용인시장의 추천을 받고, 경기신용보증재단에서 보증서를 발급받은 자",운전,2억원 이내,2.0%~2.5%,경기신용보증재단,용인지점,전 영업점
48,영광군,영광군내에 소재하는 기업으로서 영광군수가 융자 추천한 자,운전 및 시설,3억원 이내,2.00%,영광군,호남지역본부,전 영업점
49,영암군,영암군 소재 중소기업으로 영암군의 추천을 받은 자,운전 및 시설,2억원 이내,3.00%,영암군,목포지점,전 영업점
50,여수시,여수시 소재 중소기업으로서 여수시장의 추천을 받은 자,운전,2억원 이내,2%~2.5%,여수시,여수지점,전 영업점
51,옥천군,옥천군 소재 중소기업으로서 옥천군의 추천을 받은 자,운전,2억원 이내,2%~3%,"옥천군, 충북신용보증재단",옥천지점,옥천지점
52,완주군,완주군 소재 중소기업으로서 완주군수의 추천을 받은 자,운전,2억원 이내,2%~4%,완주군,호남지역본부,전 영업점
53,울산광역시,울산광역시 소재 중소기업으로서 울산경제진흥원의 융자 추천을 받은 자,운전,5억원 이내,1.5%~3%,울산경제진흥원,부산울산지역본부,전 영업점
54,울산북구,울산광역시 북구 소재 중소기업으로서 울산경제진흥원의받은 자,운전,2억원 이내,3.00%,울산경제진흥원,부산울산지역본부,울산광역시 소재 영업점
55,울산남구,울산광역시 남구 소재 중소기업으로서 울산경제진흥원의 융자 추천을 받은 자,운전,2억원 이내,2%~3%,울산경제진흥원,부산울산지역본부,전 영업점
56,울산동구,울산광역시 동구 소재 중소기업으로서 울산경제진흥원의받은 자,운전,1억원 이내,2.50%,울산경제진흥원,부산울산지역본부,전 영업점
57,울주군,울주군 소재 중소기업으로서 울주군의 융자 추천을 받은 자,운전,2억원 이내,2%~3%,울주군,부산울산지역본부,전 영업점
58,원주시,원주시 소재 중소기업으로 원주시장의 융자추천을 받은 자,운전 및 시설,3억원 이내,3%~3.5%,원주시,원주지점,원주시 소재 영업점에 한함
59,의왕시,의왕시 소재 중소기업으로서 의왕시의 융자 추천을 받은 자,운전 및 시설,5억원 이내,1%~2.5%,의왕시,의왕지점,"의왕지점, 의왕내손지점"
60,익산시,익산시 소재 중소기업으로서 익산시장의 추천을 받은 자,운전,2억원 이내,2%~4%,"익산시, 전북신용보증재단",익산지점,전 영업점
61,인천광역시,인천광역시 소재 중소기업으로서 인천광역시의 융자 추천을 받은 자,운전 및 시설,30억원 이내,0.3%~2.0%,인천광역시 경제통상진흥원,인천지역본부,전 영업점
62,인천남동구,인천광역시 남동구 소재 중소기업으로서 남동구청장의 융자 추천을 받은 자,운전 및 시설,3억원 이내,1.5%~2.5%,남동구청,인천지역본부,전 영업점
63,인천부평구,인천광역시 부평구 소재 중소기업으로서 부평구청장의 융자 추천을 받은 자,운전,4억원 이내,1.5%~2%,부평구,인천지역본부,전 영업점
64,인천서구,인천광역시 서구 소재 중소기업으로서 인천광역시 서구청장의 추천을 받은 자,운전,2억원 이내,1%~2%,인천광역시 서구,인천지역본부,전 영업점
65,인천남구,인천광역시 남구 소재 중소기업으로서 남구청장의 추천을 받은 자,운전,2억원 이내,3.00%,인천광역시 남구,인천지역본부,전 영업점
66,전라남도,전라남도 소재 중소기업으로서 전라남도의 융자 추천을 받은 기업,운전,5억원 이내,2%~3%,전라남도 중소기업종합지원센터,호남지역본부,전 영업점
67,전라북도,전라북도 소재 중소기업으로서 전라북도의 융자 추천을 받은 기업,운전,5억원 이내,2%~3%,전라북도 경제통상진흥원,호남지역본부,전 영업점
68,전주시,전주시 소재 중소기업으로서 전주시장의 추천을 받은 중소기업,운전,3억원 이내,3.5%~4%,전주시,호남지역본부,전 영업점
69,정읍시,정읍시 소재 중소기업으로서 정읍시의 융자 추천을 받은 자,운전,3억원 이내,2%~2.5%,"정읍시, 전북신용보증재단",정읍지점,전 영업점
70,제주도,제주특별자치도 소재 중소기업으로서 제주특별자치도지사의 융자 추천을 받은 자,운전 및 시설,90억원 이내,1.7%~2.8%,제주특별자치도,제주지점,제주특별자치도 소재 영업점
71,제천시,제천시 소재 중소기업으로서 제천시장의 융자추천을 받은 중소기업,운전 및 시설,5억원 이내,4.00%,제천시,제천지점,전 영업점
72,진주시,진주시 소재 중소기업으로서 진주시장이 추천한 자,운전,5억원 이내,1.5%~3%,"경남신용보증재단, 진주시",진주지점,전 영업점
73,진천군,진천군 소재 중소제조업체(소기업 포함)로서 진천군수의 융자 추천을 받은 자,운전,2억원 이내,3.00%,진천군,오창지점,충청북도 소재 영업점
74,창원시,창원시 소재 중소기업으로서 창원시장이 추천한 자,운전 및 시설,5억원 이내,1.50%,창원시,창원지점,경상남도 내 소재 영업점
75,창녕군,창녕군 소재 중소기업으로 창녕군수가 추천하는 기업,운전,2억원 이내,3.00%,창녕군,창원지점,창원지점
76,청원군,청원군 소재 중소기업으로서 청원군수의 융자추천을 받은 중소기업,운전,5억원 이내,3.00%,청원군,청주지점,전영업점
77,청주시,청주시 소재 중소기업으로서 청주시 기업지원과의 융자 추천을 받은 자,운전 및 시설,5억원 이내,3.00%,청주시,충청지역본부,전영업점
78,춘천시,춘천시 소재 중소기업으로서 춘천시장이 추천한 자,운전 및 시설,8억원 이내,3.00%,춘천시,춘천지점,전영업점
79,충주시,충주시 소재 중소기업으로서 충주시장의 융자추천을 받은 자,운전 및 시설,5억원 이내,2%~3%,충추시,충주지점,충주시 소재 영업점
80,충청남도,충청남도 소재 중소기업으로서 충청남도지사가 추천한 자(소상공인은 충남신용보증재단으로부터 추천받은 자),운전,3억원 이내,1.25%~2%,"충청남도, 충남신용보증재단",충청지역본부,전영업점
81,충청북도,충청북도에서 융자추천을 받은 자,운전 및 시설,5억원 이내,1.5~2%,충청북도지방기업진흥원,충청지역본부,전영업점
82,파주시,파주시 소재 중소기업으로서 파주시장의 융자 추천을 받거나 파주시 소재 소상공인으로서 경기신용보증재단의 신용보증서를 발급 받은 자,운전,3억원 이내,2.00%,"파주시, 경기신용보증재단",파주지점,전영업점
83,포천시,포천시 소재 중소기업으로 포천시장의 추천을 받은 자,운전,1억원 이내,2.00%,포천시,포천지점,포천지점
84,평택시,평택시에 사업장이 소재하고 있고 평택시장이 지원결정 후 당행에 통보한 자,운전,5억원 이내,2.00%,평택시,평택지점,전영업점
85,포항시,포항시 소재 중소기업으로서 포항시장이 추천한 기업,운전,3억원 이내,3.00%,포항시,포항남지점,전영업점
86,태백시,태백시 소재 중소기업으로서 태백시장의 융자추천을 받은 자,운전 및 시설,8억원 이내,5.00%,태백시,동해지점,전영업점
87,하남시,하남시 소재 중소기업으로서 하남시장의 추천을 받은 자,운전,2억원 이내,1.50%,하남시,하남지점,하남시에서 취급점으로 지정한 영업점
88,화성시,화성시 소재 중소기업으로서 화성시장이 추천한 자(소상공인은 화성시 소재 소상공인으로서 경기신용보증재단이 추천한 자),운전,2억원 이내,2.00%,"화성시, 경기신용보증재단",화성남양지점,전영업점
89,횡성군,횡성군 소재 중소기업으로서 횡성군수의 융자 추천을 받은 자,운전,1억원 이내,4.00%,횡성군,원주지점,횡성군이 지정한 영업점
90,농림축산식품부,농림수산식품부장관의 융자추천을 받은 기업,운전,추천금액 이내,3.53%,농림수산식품부,여신기획부,전영업점
91,중소기업진흥공단,중소기업진흥공단에서 융자 추천서를 발급받은 자,운전,5억원 이내,2.00%,중소기업진흥공단,여신기획부,전영업점
92,한국방송통신전파진흥원,한국방송통신전파진흥원으로부터 추천을 받은 기업,운전 및 시설,추천금액 이내,1.5%~3.86%,한국방송통신전파진흥원,여신기획부,전영업점
93,한국장애인고용공단,한국장애인고용공단의 추천을 받은 자,시설,추천금액 이내,4.00%,한국장애인고용공단,여신기획부,전영업점
94,기술신용보증기금,"기보에서 발행한 ‘기술신용정보(TCB)’의 기술신용등급이 신용등급(기보 기준)보다 높은 기업, 기보에서 발행한 ‘기술신용정보(TCB)’의 기술등급이 T4등급 이상인 기업",운전,5억원 이내,1%~3%,기술신용보증기금,여신기획부,전영업점
95,소상공인시장진흥공단,소상공인시장진흥공단 및 지방자치단체에서 추천한 소상공인,운전,1억원 이내,2.5%~3.3%,소상공인시장진흥공단,여신기획부,전영업점
96,근로복지공단,근로복지공단으로부터 “고용환경개선” 용도로 자금추천을 받은 자,시설,추천금액 이내,4.00%,근로복지공단,여신기획부,전영업점
97,국토교통부,업무용 부동산(비거주용)에 대하여 에너지 성능개선을 위한 리모델링을 구상 또는 실행중인 기업으로 국토교통부의 융자추천을 받은 기업,시설,50억원 이내,2%~4%,한국토지주택공사,여신기획부,전영업점
98,안양상공회의소,안양상공회의소에서 추천하는 자,운전,1억원 이내,1.00%,안양상공회의소,여신기획부,전영업점
